"Pothos / Devil's Ivy","Epipremnum aureum","6-10","Easy","Indoor","Medium","Moderate","Trailing/Vining","No","Rustic and natural","Cozy/inviting","Green","65-85","Average","No","Yes","The Pothos, commonly known as Devil's Ivy, is a popular, hardy houseplant native to Southeast Asia and the Pacific islands. It is prized for its vibrant, heart-shaped leaves. Pothos is a trailing or climbing vine, making it perfect for hanging baskets, trellises, or as a tabletop accent. It grows well in low light and indoors."
"Aloe Vera","Aloe barbadensis miller","1-2","Easy","Both","Bright","Low","Upright","No","Quirky and unique","Energizing/vibrant","Green","55-80","Low","No","Yes","Aloe vera is a succulent plant known for its fleshy, spiky green leaves filled with soothing gel often used in skincare and medicine. It thrives in bright, indirect sunlight and requires minimal watering, making it a low-maintenance choice. Aloe vera is also praised for its air-purifying properties."
"Fiddle Leaf Fig","Ficus lyrata","6-10","Hard","Indoor","Bright","Moderate","Upright","No","Rustic and natural","Cozy/inviting","Green","60-75","High","No","No","The fiddle leaf fig (Ficus lyrata) is a stylish indoor plant with large, glossy, violin-shaped leaves. It prefers bright, indirect light and consistent watering but can be sensitive to changes in environment. Its dramatic foliage makes it a centerpiece in modern decor. It's a striking, statement plant with large leaves."
"Spider Plant","Chlorophytum comosum","1-2","Easy","Indoor","Bright","Moderate","Upright","No","Quirky and unique","Energizing/vibrant","Subtle","55-80","Average","Yes","Yes","The spider plant (Chlorophytum comosum) is a resilient, fast-growing plant with arching green and white-striped leaves. Easy to care for, it thrives in indirect light and helps purify indoor air. Its cascading growth and baby spiderettes make it a charming addition to any space and it is known for its air-purifying qualities."
"Boston Fern","Nephrolepis exaltata","1-3","Moderate","Both","Bright","High","Upright","No","Lush and tropical","Cozy/inviting","Green","60-75","High","Yes","No","The Boston fern (Nephrolepis exaltata) is a classic houseplant known for its lush, feathery fronds. It thrives in humid environments with indirect light and consistent watering. Ideal for hanging baskets, it adds a touch of elegance and improves indoor air quality."
"Areca / Butterfly Palm","Dypsis lutescens","6-7","Moderate","Indoor","Bright","Moderate","Upright","No","Lush and tropical","Energizing/vibrant","Green","65-75","High","Yes","Yes","The areca palm (Dypsis lutescens) is a tropical plant with feathery, arching fronds. It thrives in bright, indirect light and adds a lush, airy feel to indoor spaces while purifying the air."
"Calathea / Prayer Plant","Calathea spp.","1-3","Hard","Indoor","Bright","High","Upright","No","Quirky and unique","Energizing/vibrant","Vibrant","65-80","High","Yes","No","Calatheas are known for their striking, patterned leaves in shades of green, purple, and white. They prefer low to medium light and high humidity, making them perfect for adding vibrancy to indoor spaces."
"Succulent","Echeveria spp.",">1","Moderate","Both","Bright","Low","Compact","No","Quirky and unique","Calm/serene","Vibrant","60-80","Low","No","Yes","Succulents are low-maintenance plants with thick, fleshy leaves designed to retain water. They thrive in bright, direct light and require minimal watering, making them ideal for beginners."
"Rubber Plant","Ficus elastica","3-8","Moderate","Indoor","Bright","Moderate","Upright","No","Minimalistic and modern","Calm/serene","Vibrant","60-80","Average","Mildly","Yes","The rubber plant (Ficus elastica) has glossy, deep green or burgundy leaves. It thrives in bright, indirect light and is a bold, low-maintenance addition to modern interiors."
"Prayer Plant","Maranta leuconeura",">1","Easy","Indoor","Bright","Moderate","Compact","No","Quirky and unique","Energizing/vibrant","Vibrant","65-80","High","No","No","The prayer plant (Maranta leuconeura) features oval, patterned leaves that fold up at night like hands in prayer. It loves humidity and indirect light, making it perfect for bathrooms or shaded spots."
"ZZ Plant","Zamioculcas zamiifolia","2-3","Easy","Indoor","Low","Low","Upright","No","Quirky and unique","Energizing/vibrant","Green","60-75","Low","Mildly","Yes","The ZZ plant (Zamioculcas zamiifolia) is a nearly indestructible houseplant with shiny, deep green, waxy leaves. It thrives in low light and requires minimal care, ideal for beginners."
"Monstera","Monstera deliciosa","3-10","Moderate","Indoor","Bright","Moderate","Trailing/Vining","No","Lush and tropical","Cozy/inviting","Green","65-85","High","Mildly","No","The monstera (Monstera deliciosa) is famous for its large, split leaves, giving it the nickname 'Swiss cheese plant.' It thrives in bright, indirect light and adds a dramatic tropical vibe."
"Snake Plant","Sansevieria trifasciata","1-4","Easy","Both","Low","Low","Upright","No","Quirky and unique","Energizing/vibrant","Vibrant","60-80","Low","Mildly","Yes","The snake plant (Sansevieria trifasciata) is a tough, upright plant with sword-like leaves. It thrives in low light and is nearly impossible to kill, perfect for purifying the air in any room."
"Orchid","Phalaenopsis spp.","1-3","Hard","Both","Bright","Moderate","Upright","Yes","Lush and tropical","Calm/serene","Subtle","65-85","High","No","No","Orchids (family Orchidaceae) are elegant flowering plants known for their exotic blooms in various colors. They thrive in indirect light, high humidity, and well-draining soil."
"String of Hearts","Ceropegia woodii","1-3","Moderate","Indoor","Bright","Low","Trailing/Vining","No","Quirky and unique","Cozy/inviting","Vibrant","65-80","Average","No","No","The string of hearts (Ceropegia woodii) is a trailing vine with delicate, heart-shaped leaves. It thrives in bright, indirect light and is perfect for hanging baskets or shelves."
"Bird's Nest Fern","Asplenium nidus","2-4","Easy","Indoor","Medium","Moderate","Upright","No","Lush and tropical","Energizing/vibrant","Green","60-75","High","Yes","No","The bird's nest fern (Asplenium nidus) has wavy, sword-shaped fronds and thrives in indirect light and high humidity. It is an excellent choice for adding greenery to bathrooms."
"Chinese Money Plant","Pilea peperomiodes","1-2","Easy","Indoor","Bright","Low","Upright","No","Quirky and unique","Energizing/vibrant","Green","60-75","Average","Yes","Yes","The Chinese money plant (Pilea peperomioides) features round, coin-like leaves. It is easy to care for and thrives in bright, indirect light, often considered a symbol of good fortune."
"Bougainvillea","Bougainvillea spectabilis","15-30","Moderate","Outdoor","Full sun","Low","Trailing/Vining","Yes","Rustic and natural","Energizing/vibrant","Vibrant","60-90","Low","No","Yes","Bougainvillea is a vibrant, flowering vine with papery bracts in shades of pink, red, or purple. It thrives in full sun and adds bold color to outdoor spaces or patios."
"Hibiscus","Hibiscus rosa-sinensis","3-6","Moderate","Outdoor","Full sun","Moderate","Bushy","Yes","Lush and tropical","Energizing/vibrant","Vibrant","60-85","High","No","No","The hibiscus is a tropical shrub known for its large, showy flowers in a variety of colors. It thrives in full sun and needs regular watering to keep its blossoms vibrant."
