Pothos / Devil's Ivy,Epipremnum aureum,6-10,Easy,Indoor,Medium ,Moderate,Trailing/Vining,No,Rustic and natural,Cozy/inviting,Green,65-85 ,Average,No,Yes,"Beginner friendly! Perfect for low light and indoors"
Aloe Vera,Aloe barbadensis miller,1-2,Easy,Both,Bright ,Low,Upright,No,Quirky and unique,Energizing/vibrant,Green ,55-80,Low,No,Yes,"Valued for its medicinal uses and ability to thrive with minimal care"
Fiddle Leaf Fig,Ficus lyrata,6-10,Hard,Indoor,Bright ,Moderate,Upright,No,Rustic and natural,Cozy/inviting,Green,60-75,High,No,No,"Striking and statement plant with large leaves"
Spider Plant,Chlorophytum comosum,1-2,Easy,Indoor,Bright ,Moderate,Upright,No,Quirky and unique,"Energizing/vibrant",Subtle,55-80,Average,Yes,Yes,"Adaptable houseplant known for its air-purifying qualities"
Boston Fern,Nephrolepis exaltata,1-3,Moderate,Both,Bright ,High,Upright,No,Lush and tropical,Cozy/inviting,Green,60-75,High,Yes,No,"Lush and attractive plant that thrives in humid conditions"
Areca / Butterfly Palm,Dypsis lutescens,6-7,Moderate,Indoor,Bright ,Moderate,Upright,No,Lush and tropical,Energizing/vibrant,Green,65-75,High,Yes,Yes,"Elegant and air-purifying plant that adds tropical vibes"
Calathea / Prayer Plant,Calathea spp.,1-3,Hard,Indoor,Bright ,High,Upright,No,Quirky and unique,Energizing/vibrant,Vibrant,65-80,High,Yes,No,"Stunning foliage and unique leaf patterns. Requires diligent care"
Succulent,Echeveria spp. ,>1,Moderate,Both,Bright ,Low,Compact,No,Quirky and unique,Calm/serene,Vibrant,60-80,Low,No,Yes,"Beautiful rosette shape and vibrant colors"
Rubber Plant,Ficus elastica,3-8,Moderate,Indoor,Bright ,Moderate,Upright,No,Minimalistic and modern,Calm/serene,Vibrant,60-80,Average,Mildly,Yes,"Large yet glossy leaves that help purify the air"
Prayer Plant,Maranta leuconeura,>1,Easy,Indoor,Bright ,Moderate,Compact,No,Quirky and unique,Energizing/vibrant,Vibrant,65-80,High,No,No,"Patterned leaves that fold at night"
ZZ Plant,Zamioculcas zamiifolia,2-3,Easy,Indoor,Low ,Low,Upright,No,Quirky and unique,Energizing/vibrant,Green,60-75,Low,Mildly,Yes,"Prized for its resilience and ability to thrive in low light"
Monstera,Monstera deliciosa,3-10,Moderate,Indoor,Bright ,Moderate,Trailing/Vining,No,Lush and tropical,Cozy/inviting,Green,65-85,High,Mildly,No,"Dramatic foliage and unique appearance that adds a tropical touch"
